uf,ano,total_linha
AC,2006,37
AC,2007,66
AC,2008,106
AC,2009,147
AC,2010,190
AC,2011,223
AC,2012,211
AC,2013,226
AC,2014,337
AC,2015,278
AC,2016,245
AC,2017,220
AC,2018,207
AC,2019,214
AC,2020,187
AL,2006,233
AL,2007,237
AL,2008,289
AL,2009,331
AL,2010,396
AL,2011,568
AL,2012,627
AL,2013,692
AL,2014,827
AL,2015,1051
AL,2016,900
AL,2017,989
AL,2018,965
AL,2019,861
AL,2020,656
AM,2006,338
AM,2007,384
AM,2008,533
AM,2009,713
AM,2010,842
AM,2011,932
AM,2012,874
AM,2013,938
AM,2014,1070
AM,2015,1000
AM,2016,1109
AM,2017,1085
AM,2018,1085
AM,2019,946
AM,2020,898
AP,2006,12
AP,2007,22
AP,2008,28
AP,2009,29
AP,2010,65
AP,2011,108
AP,2012,105
AP,2013,113
AP,2014,112
AP,2015,103
AP,2016,115
AP,2017,124
AP,2018,130
AP,2019,130
AP,2020,117
BA,2006,962
BA,2007,1001
BA,2008,1348
BA,2009,1719
BA,2010,2196
BA,2011,2634
BA,2012,2775
BA,2013,3022
BA,2014,3317
BA,2015,3304
BA,2016,3097
BA,2017,3147
BA,2018,3082
BA,2019,2871
BA,2020,2916
CE,2006,719
CE,2007,746
CE,2008,1077
CE,2009,1320
CE,2010,1866
CE,2011,2162
CE,2012,2396
CE,2013,2494
CE,2014,3213
CE,2015,2877
CE,2016,2494
CE,2017,2423
CE,2018,2548
CE,2019,2444
CE,2020,2375
DF,2006,703
DF,2007,743
DF,2008,935
DF,2009,1054
DF,2010,1324
DF,2011,1931
DF,2012,2176
DF,2013,2349
DF,2014,3168
DF,2015,2836
DF,2016,2504
DF,2017,2535
DF,2018,2480
DF,2019,2236
DF,2020,2347
ES,2006,282
ES,2007,304
ES,2008,395
ES,2009,576
ES,2010,728
ES,2011,1011
ES,2012,1076
ES,2013,1174
ES,2014,1495
ES,2015,1588
ES,2016,1470
ES,2017,1365
ES,2018,1470
ES,2019,1329
ES,2020,1256
GO,2006,373
GO,2007,356
GO,2008,518
GO,2009,821
GO,2010,1140
GO,2011,1406
GO,2012,1692
GO,2013,1803
GO,2014,2489
GO,2015,2400
GO,2016,2215
GO,2017,2043
GO,2018,2089
GO,2019,1976
GO,2020,1953
MA,2006,203
MA,2007,281
MA,2008,432
MA,2009,565
MA,2010,693
MA,2011,672
MA,2012,491
MA,2013,500
MA,2014,662
MA,2015,797
MA,2016,654
MA,2017,673
MA,2018,644
MA,2019,534
MA,2020,540
MG,2006,3056
MG,2007,2811
MG,2008,3843
MG,2009,4023
MG,2010,5229
MG,2011,7395
MG,2012,8282
MG,2013,9332
MG,2014,12329
MG,2015,11344
MG,2016,9994
MG,2017,10118
MG,2018,10037
MG,2019,9617
MG,2020,9638
MS,2006,381
MS,2007,379
MS,2008,460
MS,2009,673
MS,2010,705
MS,2011,1058
MS,2012,1200
MS,2013,1441
MS,2014,1612
MS,2015,1645
MS,2016,1523
MS,2017,1429
MS,2018,1358
MS,2019,1350
MS,2020,1312
MT,2006,382
MT,2007,375
MT,2008,468
MT,2009,529
MT,2010,893
MT,2011,1023
MT,2012,879
MT,2013,998
MT,2014,1132
MT,2015,1064
MT,2016,1102
MT,2017,1240
MT,2018,1314
MT,2019,1178
MT,2020,979
PA,2006,490
PA,2007,552
PA,2008,787
PA,2009,1007
PA,2010,1301
PA,2011,1574
PA,2012,1557
PA,2013,1629
PA,2014,2250
PA,2015,2311
PA,2016,2653
PA,2017,2659
PA,2018,2559
PA,2019,2373
PA,2020,2183
PB,2006,721
PB,2007,761
PB,2008,1116
PB,2009,1713
PB,2010,2175
PB,2011,2782
PB,2012,2870
PB,2013,2907
PB,2014,3171
PB,2015,3192
PB,2016,2987
PB,2017,3192
PB,2018,3331
PB,2019,3126
PB,2020,2757
PE,2006,1155
PE,2007,1198
PE,2008,1522
PE,2009,1835
PE,2010,2070
PE,2011,2749
PE,2012,2911
PE,2013,3151
PE,2014,3942
PE,2015,3484
PE,2016,3272
PE,2017,3436
PE,2018,3436
PE,2019,3321
PE,2020,3422
PI,2006,145
PI,2007,193
PI,2008,258
PI,2009,366
PI,2010,428
PI,2011,594
PI,2012,596
PI,2013,700
PI,2014,1029
PI,2015,965
PI,2016,751
PI,2017,710
PI,2018,745
PI,2019,765
PI,2020,678
PR,2006,1803
PR,2007,1803
PR,2008,2434
PR,2009,3044
PR,2010,4246
PR,2011,5400
PR,2012,5724
PR,2013,6488
PR,2014,7589
PR,2015,7959
PR,2016,8010
PR,2017,8168
PR,2018,7921
PR,2019,7662
PR,2020,7340
RJ,2006,4834
RJ,2007,4577
RJ,2008,6099
RJ,2009,5826
RJ,2010,6672
RJ,2011,8124
RJ,2012,9406
RJ,2013,10561
RJ,2014,12121
RJ,2015,11963
RJ,2016,11497
RJ,2017,11624
RJ,2018,11494
RJ,2019,10901
RJ,2020,11707
RN,2006,524
RN,2007,527
RN,2008,762
RN,2009,1103
RN,2010,1431
RN,2011,1846
RN,2012,2014
RN,2013,2096
RN,2014,2602
RN,2015,2450
RN,2016,2382
RN,2017,2405
RN,2018,2304
RN,2019,2209
RN,2020,2132
RO,2006,38
RO,2007,69
RO,2008,82
RO,2009,137
RO,2010,116
RO,2011,178
RO,2012,187
RO,2013,220
RO,2014,233
RO,2015,275
RO,2016,268
RO,2017,402
RO,2018,381
RO,2019,291
RO,2020,198
RR,2006,53
RR,2007,67
RR,2008,67
RR,2009,50
RR,2010,80
RR,2011,79
RR,2012,127
RR,2013,137
RR,2014,144
RR,2015,146
RR,2016,173
RR,2017,173
RR,2018,146
RR,2019,116
RR,2020,92
RS,2006,3336
RS,2007,3425
RS,2008,4410
RS,2009,4933
RS,2010,6043
RS,2011,7181
RS,2012,8021
RS,2013,9874
RS,2014,11975
RS,2015,11854
RS,2016,11198
RS,2017,10676
RS,2018,10817
RS,2019,10583
RS,2020,10726
SC,2006,1172
SC,2007,1051
SC,2008,1431
SC,2009,1756
SC,2010,2178
SC,2011,2731
SC,2012,3054
SC,2013,3572
SC,2014,4340
SC,2015,4238
SC,2016,4196
SC,2017,4226
SC,2018,4382
SC,2019,4189
SC,2020,4112
SE,2006,136
SE,2007,140
SE,2008,211
SE,2009,297
SE,2010,468
SE,2011,697
SE,2012,698
SE,2013,811
SE,2014,1165
SE,2015,1120
SE,2016,1105
SE,2017,1147
SE,2018,1103
SE,2019,963
SE,2020,843
SP,2006,10047
SP,2007,9861
SP,2008,12493
SP,2009,12277
SP,2010,14311
SP,2011,16646
SP,2012,17697
SP,2013,20188
SP,2014,23190
SP,2015,24892
SP,2016,24229
SP,2017,24861
SP,2018,24898
SP,2019,22828
SP,2020,23511
TO,2006,64
TO,2007,141
TO,2008,201
TO,2009,309
TO,2010,321
TO,2011,367
TO,2012,258
TO,2013,262
TO,2014,277
TO,2015,314
TO,2016,290
TO,2017,302
TO,2018,302
TO,2019,277
TO,2020,241
